uk	 en	 ru
У цій секції реалізовано можливість обирати загальну кількість комірок, які у вас наявні, та відмічати витраченні комірки магії. Також можна записувати відомі вам заклинання та зазначати заготовлені.	Magic Slots Section. Allows setting total available slots, marking used slots, recording known/prepared spells.	В этом разделе можно выбрать общее количество ячеек, отмечать использованные, записывать известные/подготовленные заклинания.
Ця ж сама система може бути використана і для інфузій. Можна обрати, скільки у вас їх є, записати назву та відмітити ті, які ви використовуєте.	Infusions. Same system applies. Choose quantity, record name, mark usage.	Та же система для инфузий. Можно выбрать количество, записать название и отметить использованные.
Також можна вписувати назви будь-яких артефактів або навичок, якщо вони потребують трекера, та, за такою ж логікою, обирати кількість і відмічати використання.	Artifacts/Skills. Can record names, track usage with counts similarly.	Также можно вписать названия любых артефактов или навыков, если требуется трекер, отмечать количество и использование.
Також є дві додаткові панелі внизу справа і зліва, які відкриваються і закриваються, як нотатки в карті персонажа. Туди можна помістити ще по 10 полей для запису заклинань, що сумарно дорівнює вже 50-ти заклинанням, які можна записати для підготовки та швидкого доступу.	Extra Panels. Two additional panels at bottom left/right open like notes; can hold 10 spells each, total 50, for quick access/prep.	Дополнительные панели. Две панели внизу справа и слева открываются как заметки; можно добавить по 10 заклинаний, всего 50, для подготовки и быстрого доступа.
В головному меню біля кнопок персонажів є кнопка. Натиснувши на неї, у вас відриється панель для вписання імені вашого персонажа, після натисканя на кнопкі підтвердити імя перенесеться на кнопку персонажа, якщо натиснути на ресет відповідно все стане за замовченям як було, ця функція допоможе мав завжди знати де якій персонаж	Main Menu Character Button. Click opens panel to enter character name; after confirming, name appears on character button. Reset restores default. Helps track characters.	В главном меню рядом с кнопками персонажей есть кнопка. Нажав, откроется панель для ввода имени персонажа; после подтверждения имя появляется на кнопке. Сброс вернет по умолчанию. Помогает всегда знать, где какой персонаж.
Тут реалізовано можливість відмічати відмечені коміркі магії та обирати загальну кількість комірок як у вас є.	Allows marking used magic slots and setting total available slots.	Позволяет отмечать использованные ячейки магии и устанавливать общее количество.
Та сама система і для інфузій. Можна обрати скільки у вас їх є, записати назву і відмітити ті, які ви використовуєте.	Same system applies to infusions. Choose quantity, record name, mark usage.	Та же система для инфузий. Можно выбрать количество, записать название и отметить использованные.
Також можна висувати назви будь-яких артефактів або навичок, якщо вони потребують використання і так само обирати кількість і відмічати використання.	Also record any artifact or skill names requiring tracking, select quantity, mark usage.	Также можно указать названия любых артефактов или навыков, если требуется трекер, выбрать количество и отмечать использование.
Знизу або в меню є кнопка для переходу в книгу заклинань.	Bottom/menu button opens Book of Spells.	Внизу или в меню есть кнопка для перехода в Книгу заклинаний.
Це по своїй суті мінікарта персонажа, яку можна використовувати для запису диких форм, силових баліст, фамільярів, монстрів, транспорту і взагалі будь-чого, що ви забажаєте, якщо в них є характеристики й опис. Тут також присутні Лінії Життя для швидкого підрахунку.	Mini character map to record wild forms, spellballs, familiars, monsters, mounts, etc. Life Lines for quick calculation included.	Миникарта персонажа для записи диких форм, силовых баллист, фамильяров, монстров, транспорта и всего, что пожелаете, если есть характеристики и описание. Линии Жизни для быстрого подсчета.
Самих Диких форм є по 4-ри в кожній карті персонажа. Якщо потрібно буде більше, пишіть у коментарях групи додатка (посилання на групу у вкладці Автори).	Each character sheet has 4 Wild Forms. For more, comment in app group (link in Authors tab).	Самих Диких форм по 4 в каждой карте персонажа. Для большего пишите в комментариях группы приложения (ссылка в вкладке Авторы).
Ця сторінка додана була для візуалізації інвентаря персонажа.	This page added for visualizing character inventory.	Эта страница добавлена для визуализации инвентаря персонажа.
Тут присутні 5 сторінок по 9 предметів в кожному з них.	Contains 5 pages with 9 items each.	Здесь 5 страниц по 9 предметов на каждой.
Є 6 кнопок: Зброя, Броня-Щити, Магія, Набори інструментів, Прикраси та Різні предмети. У кожній кнопці наявні відповідно різні варіанти картинок, які можна обрати, натиснувши на відповідну картинку. А також ви можете вписати назву і опис предмета.	6 buttons: Weapons, Armor-Shields, Magic, Toolkits, Accessories, Misc Items. Each button contains selectable images and allows entering item name & description.	6 кнопок: Оружие, Броня-Щиты, Магия, Наборы инструментов, Украшения и Разные предметы. В каждой кнопке доступны картинки и можно указать название и описание предмета.
Це фактично сторінка для опису вашого персонажа, якщо вам це потрібно. Також тут є можливість записувати сюжетні завдання та відмічати виконані. Додатково присутні поля для нотаток, якщо потрібно записати щось додатково, а 4-х полей нотаток на головній сторінці було замало.	Page for describing your character. Also can track quests and completed tasks. Extra notes fields available.	Main страница для описания вашего персонажа. Также можно отслеживать сюжетные задания и отмечать выполненные. Дополнительные поля заметок доступны.
Тут також 5 сторінок по 15 спелів на кожній.	Also 5 pages with 15 spells each.	Также 5 страниц по 15 заклинаний на каждой.
Можна вписати назву заклинання і опис.	Enter spell name and description.	Можно указать название заклинания и описание.
Також поставити чи підготовлено воно, який час воно діє, так час накладування (дія, бонусна дія, реакція, ритуал), також можна обрати рівень.	Set whether spell is prepared, its duration, casting time (Action, Bonus Action, Reaction, Ritual), and level.	Также указать подготовлено ли оно, длительность, время наложения (действие, бонусное действие, реакция, ритуал), и выбрать уровень.
Це потрібно для того щоб якщо у вас декілька персонажів ви не путались в їх заклинаннях і не потрібно було кудись їх ще записувати або запам’ятовувати.	Helps track spells for multiple characters so you don't confuse or need to record elsewhere.	Нужно для того, чтобы при нескольких персонажах не путаться в их заклинаниях и не нужно было записывать их куда-то ещё.
Тут можна записувати 4-ри короткі описи ваших персонажів, якщо звичайних карт персонажа не вистачило або ж якщо вони просто на стадії ідеї.	Can record 4 short descriptions of characters if main sheets insufficient or in idea stage.	Здесь можно записывать 4 коротких описания персонажей, если обычных карт не хватает или они на стадии идеи.
Якщо буде потрібно, також можу додати ще екстра поля.	Extra fields can be added if needed.	При необходимости можно добавить дополнительные поля.
Додаток був створений виключно тому що мені було незручно використовувати паперову карту персонажа через те, що її було некомфортно заповнювати й постійно стирати. Тому ціль цього додатку була створити, по суті, звичайну карту персонажа, але з можливістю її максимально комфортно редагувати й підлаштовувати під різні класи та насамперед під себе.	The app was created because it was inconvenient to use a paper character sheet, which was uncomfortable to fill and erase. The goal is a normal character sheet but highly customizable and user-friendly.	Приложение было создано, потому что было неудобно использовать бумажную карту персонажа, которую было тяжело заполнять и постоянно стирать. Цель — обычная карта персонажа с возможностью максимально комфортного редактирования и подстройки под разные классы.
Те, що деякі поля підписані в ній, як у звичайній карті персонажа, не означає, що вони мають бути використані тільки таким чином. Ви можете писати будь-що у ті поля, як вам буде зручно, і використовувати їх для того, що забажаєте. Наприклад, сторінка Дика форма не означає, що туди можна записувати лише Дикі форми. Ви можете записати туди і своїх фамільярів, і силові балісти, і навіть просто характеристики монстрів чи власних конструктів.	Some fields look like a regular character sheet but you can use them however you want. For example, Wild Form page can hold familiars, spellballs, monsters, or constructs.	Некоторые поля подписаны как в обычной карте персонажа, но вы можете использовать их как угодно. Например, страница Дикая форма может содержать фамильяров, силовые баллисты, монстров или конструктов.
Цей додаток, звісно, буде ще добрацьовуватись і, якщо у вас є зауваження або побажання, ви можете написати про це в коментарях групи.	Of course, the app will be further improved. You can provide feedback or suggestions in the group comments.	Это приложение будет дорабатываться, и если есть замечания или пожелания, вы можете написать об этом в комментариях группы.
За можливості, я це врахую у наступних версіях.	If possible, I will consider it in future versions.	По возможности это будет учтено в следующих версиях.
Над додатком працювали:	Team working on the app:	Над приложением работали:
Головний виконавець — Parapanera;	Main Developer — Parapanera;	Главный разработчик — Parapanera;
Допомога та поради — Гільдія «Свистофляги»;	Help & guidance — Guild "Svistoflyagi";	Помощь и советы — Гильдия «Свистофляги»;
Люди, які надихнули на створення додатка — Medisil та Eduard Medvediev	People who inspired the app creation — Medisil & Eduard Medvediev	Люди, которые вдохновили на создание приложения — Medisil и Eduard Medvediev
Додаткові консультації та скрипти надані за допомогою ChatGPT від OpenAI	Additional consultations & scripts provided via ChatGPT by OpenAI	Дополнительные консультации и скрипты предоставлены с помощью ChatGPT от OpenAI
Основна ідея персонажа	Character Concept	Основная идея персонажа
Нотатки 1	Notes #1	Заметки №1
Нотатки 2	Notes #2	Заметки №2
Нотатки 3	Notes #3	Заметки №3
Нотатки 4	Notes #4	Заметки №4
Нотатки 5	Notes #5	Заметки №5
Нотатки 6	Notes #6	Заметки №6
Очі	Eyes	Глаза
Зріст	Height	Рост
Вага	Weight	Вес
Шкіра	Skin	Кожа
Волося	Hair	Волосы
Вік	Age	Возраст
Зовнішність персонажа	Appearance	Внешность персонажа
Союзники та Організації	Allies & Organizations	Союзники и организации
Завдання	Quests	Задания
Додаткові риси та навички	Additional Traits & Skills	Дополнительные черты и навыки
Особисті Цілі	Personal Goals	Личные цели
Нотатки №1	Notes #1	Заметки №1
ПредІсторія Персонажа	Character Backstory	Предыстория персонажа
Риси характеру	Personality Traits	Черты характера
Ідеали	Ideals	Идеалы
Уподобання	Preferences	Предпочтения
Слабкості	Weaknesses	Слабости
Нотатки №2	Notes #2	Заметки №2
Нотатки №3	Notes #3	Заметки №3
Ім'я	Character Name	Имя
Дика форма №1	Wild Shape #1	Дикая форма #1
Дика форма №2	Wild Shape #2	Дикая форма #2
Дика форма №3	Wild Shape #3	Дикая форма #3
Дика форма №4	Wild Shape #4	Дикая форма #4
Дика форма №5	Wild Shape #5	Дикая форма #5
Дика форма №6	Wild Shape #6	Дикая форма #6
Дика форма №7	Wild Shape #7	Дикая форма #7
Дика форма №8	Wild Shape #8	Дикая форма #8
Файл збережених даних	Saved data file	Файл сохраненных данных
Файл збережених данних	Saved data file	Файл сохраненных данных
Файл збережених\nперсонажів	Saved\ncharacters file	Файл сохраненных\nперсонажей
Додати нового персонажа	Add new character	Добавить нового персонажа
Додать нового персонажа	Add new character	Добавить нового персонажа
